phrasing,question_code
who is the hod of the ise department,Q001
who is the hod of ise,Q001
ise hod name,Q001
who is the head of the information science department,Q001
tell me about the ise hod,Q001
name of the ise hod,Q001
who heads the ise department,Q001
hod of information science and engineering,Q001
who is in charge of the ise department,Q001
ise department head,Q001
where is the ise department located,Q002
where is the ise department,Q002
ise department location,Q002
which block is the ise department in,Q002
how do i find the ise department,Q002
where can i find the ise dept,Q002
location of the information science department,Q002
which floor is ise on,Q002
where is the ise office,Q002
ise department building,Q002
which departments does the college have,Q003
what departments are there,Q003
list of departments,Q003
what branches are available,Q003
which branches does the college offer,Q003
what are the engineering branches here,Q003
how many departments are there,Q003
tell me the departments,Q003
available branches in college,Q003
what branches do you have,Q003
how many seats are available in the ise department,Q004
ise intake,Q004
how many seats in ise,Q004
what is the intake of ise,Q004
number of seats in information science,Q004
ise seat matrix,Q004
how many students in ise per year,Q004
total seats in the ise branch,Q004
what is the ise sanctioned intake,Q004
lateral entry seats in ise,Q004
who is the hod of the cse department,Q005
cse hod name,Q005
who heads the computer science department,Q005
hod of cse,Q005
who is the head of computer science and engineering,Q005
name of the cse hod,Q005
cse department head,Q005
who is in charge of cse,Q005
who are the faculty members in ise,Q006
list of ise faculty,Q006
ise teaching staff,Q006
who are the teachers in the ise department,Q006
ise faculty list,Q006
name the ise professors,Q006
how many faculty in ise,Q006
staff members of information science,Q006
ise lecturers,Q006
faculty of the ise department,Q006
how can i contact the ise hod,Q007
ise hod email,Q007
how to reach the hod of ise,Q007
contact details of the ise hod,Q007
hod ise phone number,Q007
when is the ise hod available,Q007
how do i meet the ise hod,Q007
ise hod cabin,Q007
email id of the ise head,Q007
who is the placement coordinator for ise,Q008
ise placement coordinator,Q008
who handles placements in ise,Q008
placement officer for information science,Q008
who to contact for placement,Q008
placement cell contact,Q008
who is in charge of placements,Q008
training and placement coordinator ise,Q008
what are the qualifications of the ise faculty,Q009
ise faculty qualification,Q009
how many phd faculty in ise,Q009
are the ise teachers phd holders,Q009
educational qualification of the ise staff,Q009
qualification of information science teachers,Q009
do the ise faculty have a doctorate,Q009
ise faculty education background,Q009
how are class advisors assigned,Q010
who is my class advisor,Q010
class advisor for ise,Q010
who is the section a advisor,Q010
how do i know my class teacher,Q010
class coordinator ise,Q010
who is assigned as advisor for our section,Q010
class advisor allotment,Q010
what are the college timings,Q011
college timing,Q011
when does college start,Q011
what time do classes begin,Q011
when does college end,Q011
college working hours,Q011
what time does college close,Q011
class hours,Q011
what are the class timings,Q011
daily college timing,Q011
when is the lunch break,Q012
lunch break timing,Q012
what time is lunch,Q012
lunch time in college,Q012
when is the break,Q012
how long is the lunch break,Q012
short break timings,Q012
interval timing,Q012
when do the semester examinations begin,Q013
when are the exams,Q013
exam dates,Q013
semester exam schedule,Q013
when does the vtu exam start,Q013
examination timetable,Q013
when is the sem end exam,Q013
exam time table,Q013
when do we have exams,Q013
what is the class schedule for ise 5th semester,Q014
ise 5th sem timetable,Q014
5th semester subjects in ise,Q014
what subjects are in ise fifth sem,Q014
class schedule for fifth semester,Q014
ise 5th sem class timings,Q014
timetable for ise fifth semester,Q014
subjects in 5th sem information science,Q014
are saturdays working days,Q015
is saturday a working day,Q015
do we have classes on saturday,Q015
saturday working,Q015
is college open on saturday,Q015
second saturday holiday,Q015
saturday timings,Q015
do classes happen on saturdays,Q015
which university is the college affiliated to,Q016
college affiliation,Q016
is the college affiliated to vtu,Q016
which university,Q016
affiliated university name,Q016
under which university does the college come,Q016
is it a vtu college,Q016
what is the affiliation of the college,Q016
when was the college established,Q017
college established year,Q017
in which year was the college started,Q017
how old is the college,Q017
year of establishment,Q017
when did the college start,Q017
college founding year,Q017
since when is the college running,Q017
what is the admission process,Q018
how to get admission,Q018
admission procedure,Q018
how do i apply for admission,Q018
what is the eligibility for admission,Q018
admission requirements,Q018
how to take admission in this college,Q018
entrance exam for admission,Q018
kcet comedk admission,Q018
is the college accredited,Q019
naac grade,Q019
is the college naac accredited,Q019
nba accreditation,Q019
what is the accreditation status,Q019
does the college have naac,Q019
accreditation details,Q019
is ise nba accredited,Q019
what programmes does the college offer,Q020
what courses are offered,Q020
list of courses,Q020
does the college have mtech,Q020
postgraduate programmes,Q020
what degrees are offered,Q020
be programmes available,Q020
does the college offer phd,Q020
ug and pg courses,Q020
what are the contact details of the college,Q021
college phone number,Q021
how to contact the college,Q021
college address and phone,Q021
contact information,Q021
college contact number,Q021
give me the college contact details,Q021
phone number of the college office,Q021
what is the email address of the college office,Q022
college email id,Q022
email for admission queries,Q022
official email of the college,Q022
what is the college mail id,Q022
email address for enquiry,Q022
placement email id,Q022
exam section email,Q022
how do i reach the college campus,Q023
where is the college located,Q023
college address,Q023
how to reach the college,Q023
nearest metro station to the college,Q023
which bus goes to the college,Q023
directions to the college,Q023
college location,Q023
how far is the college from the railway station,Q023
what are the office hours of the administrative section,Q024
office timings,Q024
when is the office open,Q024
administrative office hours,Q024
fee counter timing,Q024
when can i visit the office,Q024
college office working hours,Q024
admin office timing,Q024
is hostel accommodation available,Q025
does the college have a hostel,Q025
hostel facility,Q025
hostel details,Q025
is there a girls hostel,Q025
boys hostel availability,Q025
how to apply for hostel,Q025
hostel capacity,Q025
mess facility in the hostel,Q025
what are the library timings,Q026
library timing,Q026
when is the library open,Q026
library hours,Q026
how many books are in the library,Q026
library facility,Q026
does the library have a digital section,Q026
library closing time,Q026
does the college provide bus transport,Q027
college bus,Q027
transport facility,Q027
bus routes,Q027
is there a college bus to my area,Q027
how many buses does the college have,Q027
transport fees,Q027
bus facility details,Q027
what sports facilities are available,Q028
sports facility,Q028
does the college have a gym,Q028
playground facility,Q028
is there a basketball court,Q028
sports ground,Q028
gymnasium in college,Q028
indoor games facility,Q028
accommodation for students,Q025
outstation student accommodation,Q025
staying facility for students,Q025
place to stay near college,Q025
reading room timings,Q026
study room timing,Q026
reading section hours,Q026
when can i use the library,Q026
naac rating,Q019
accreditation grade of the college,Q019
what grade does the college have,Q019
quality rating of the institution,Q019
engineering streams offered,Q003
